fixtueID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name,result
711879,1651323600,6787,Alaniya Vladikavkaz,2,2,6786,Akron,Draw
711880,1651316400,3984,Tekstilshchik,2,5,1080,Orenburg,Away
711881,1651327200,6797,Dolgoprudny,1,0,1081,TOM Tomsk,Home
711882,1651302000,1087,Ska-khabarovsk,2,1,1993,Fakel Voronezh,Home
711883,1651323600,2004,Volgar Astrakhan,2,2,2006,Baltika,Draw
711884,1651316400,3985,Torpedo Moskva,2,0,2015,Krasnodar 2,Home
711885,1651316400,6833,Veles,1,2,6815,Metallurg Lipetsk,Away
711886,1651935600,2006,Baltika,0,0,6815,Metallurg Lipetsk,Draw
711887,1651928400,1993,Fakel Voronezh,1,0,2004,Volgar Astrakhan,Home
711888,1634461200,1081,TOM Tomsk,1,0,1087,Ska-khabarovsk,Home
711889,1651924800,1080,Orenburg,2,2,6797,Dolgoprudny,Draw
711890,1651924800,6786,Akron,4,1,3984,Tekstilshchik,Home
711891,1651845600,2001,FK Neftekhimik,5,2,6787,Alaniya Vladikavkaz,Home
711892,1651924800,2010,Rotor Volgograd,0,1,2003,Spartak Moscow 2,Away
711893,1651928400,6801,KAMAZ,0,0,6831,Urozhay,Draw
711894,1651935600,2015,Krasnodar 2,4,0,1089,Enisey,Home
711895,1651921200,3985,Torpedo Moskva,1,0,6833,Veles,Home
711896,1652608800,1089,Enisey,0,1,3985,Torpedo Moskva,Away
711897,1652544000,6831,Urozhay,0,0,2015,Krasnodar 2,Draw
711898,1652706000,2003,Spartak Moscow 2,3,0,6801,KAMAZ,Home
711899,1652623200,6787,Alaniya Vladikavkaz,0,1,2010,Rotor Volgograd,Away
711900,1652612400,3984,Tekstilshchik,1,0,2001,FK Neftekhimik,Home
711901,1652612400,6797,Dolgoprudny,0,2,6786,Akron,Away
711902,1652598000,1087,Ska-khabarovsk,1,0,1080,Orenburg,Home
711903,1652625000,2004,Volgar Astrakhan,0,3,1081,TOM Tomsk,Away
711904,1652619600,6815,Metallurg Lipetsk,1,2,1993,Fakel Voronezh,Away
711905,1652608800,6833,Veles,1,1,2006,Baltika,Draw
711906,1653134400,1089,Enisey,3,2,6833,Veles,Home
711907,1653134400,6787,Alaniya Vladikavkaz,3,2,6801,KAMAZ,Home
711908,1653130800,3984,Tekstilshchik,1,3,2010,Rotor Volgograd,Away
711909,1653134400,6797,Dolgoprudny,2,4,2001,FK Neftekhimik,Away
711910,1653116400,1087,Ska-khabarovsk,0,3,6786,Akron,Away
711911,1653134400,2004,Volgar Astrakhan,2,2,1080,Orenburg,Draw
711912,1653134400,2006,Baltika,0,1,1993,Fakel Voronezh,Away
711913,1653130800,1081,TOM Tomsk,2,2,6815,Metallurg Lipetsk,Draw
711914,1653123600,2015,Krasnodar 2,1,3,2003,Spartak Moscow 2,Away
711915,1653134400,3985,Torpedo Moskva,2,2,6831,Urozhay,Draw
