fixtureID,timestamp,home_team_id,home_team_name,home_goals,away_goals,away_team_id,away_team_name
873085,1679140800,177,Jahn Regensburg,1,0,185,SC Paderborn 07
873086,1679229000,744,Eintracht Braunschweig,1,0,166,Hannover 96
873087,1680346800,186,FC St. Pauli,1,0,177,Jahn Regensburg
873088,1680435000,185,SC Paderborn 07,3,2,178,SpVgg Greuther Furth
873089,1680280200,171,FC Nurnberg,0,1,181,SV Darmstadt 98
873090,1680435000,191,Holstein Kiel,2,3,188,Arminia Bielefeld
873091,1680280200,158,Fortuna Dusseldorf,2,2,175,Hamburger SV
873092,1680346800,166,Hannover 96,3,1,189,SV Sandhausen
873093,1680346800,785,Karlsruher SC,1,1,744,Eintracht Braunschweig
873094,1680435000,179,FC Magdeburg,3,0,1321,Hansa Rostock
873095,1680373800,745,FC Kaiserslautern,2,2,180,FC Heidenheim
873096,1681039800,188,Arminia Bielefeld,2,2,158,Fortuna Dusseldorf
873097,1680951600,175,Hamburger SV,6,1,166,Hannover 96
873098,1681039800,181,SV Darmstadt 98,2,1,185,SC Paderborn 07
873099,1680978600,180,FC Heidenheim,0,1,186,FC St. Pauli
873100,1680951600,171,FC Nurnberg,1,1,785,Karlsruher SC
873101,1681039800,1321,Hansa Rostock,2,3,191,Holstein Kiel
873102,1681039800,189,SV Sandhausen,0,2,178,SpVgg Greuther Furth
873103,1681039800,177,Jahn Regensburg,2,2,179,FC Magdeburg
873104,1680951600,744,Eintracht Braunschweig,1,0,745,FC Kaiserslautern
873105,1681489800,178,SpVgg Greuther Furth,2,1,177,Jahn Regensburg
873106,1681644600,186,FC St. Pauli,1,2,744,Eintracht Braunschweig
873107,1681556400,185,SC Paderborn 07,3,0,1321,Hansa Rostock
873108,1681556400,191,Holstein Kiel,2,1,171,FC Nurnberg
873109,1681644600,158,Fortuna Dusseldorf,1,0,181,SV Darmstadt 98
873110,1681489800,166,Hannover 96,0,3,180,FC Heidenheim
873111,1681644600,785,Karlsruher SC,4,2,188,Arminia Bielefeld
873112,1681556400,179,FC Magdeburg,1,2,189,SV Sandhausen
873113,1681583400,745,FC Kaiserslautern,2,0,175,Hamburger SV
873114,1682161200,188,Arminia Bielefeld,1,3,166,Hannover 96
873115,1682094600,175,Hamburger SV,4,3,186,FC St. Pauli
873116,1682094600,181,SV Darmstadt 98,2,1,785,Karlsruher SC
873117,1682249400,180,FC Heidenheim,3,0,191,Holstein Kiel
873118,1682161200,171,FC Nurnberg,2,0,158,Fortuna Dusseldorf
873119,1682161200,1321,Hansa Rostock,2,0,178,SpVgg Greuther Furth
873120,1682249400,189,SV Sandhausen,2,2,185,SC Paderborn 07
873121,1682249400,177,Jahn Regensburg,0,0,745,FC Kaiserslautern
873122,1682188200,744,Eintracht Braunschweig,1,2,179,FC Magdeburg
873123,1682699400,178,SpVgg Greuther Furth,0,2,180,FC Heidenheim
873124,1682766000,186,FC St. Pauli,2,1,188,Arminia Bielefeld
873125,1682699400,185,SC Paderborn 07,5,1,744,Eintracht Braunschweig
873126,1682854200,191,Holstein Kiel,0,3,181,SV Darmstadt 98
873127,1682854200,158,Fortuna Dusseldorf,3,2,785,Karlsruher SC
873128,1682793000,166,Hannover 96,3,0,171,FC Nurnberg
873129,1682854200,189,SV Sandhausen,2,1,177,Jahn Regensburg
873130,1682766000,179,FC Magdeburg,3,2,175,Hamburger SV
873131,1682766000,745,FC Kaiserslautern,0,1,1321,Hansa Rostock
873132,1683304200,188,Arminia Bielefeld,1,1,178,SpVgg Greuther Furth
873133,1683304200,175,Hamburger SV,2,2,185,SC Paderborn 07
873134,1683397800,181,SV Darmstadt 98,0,3,186,FC St. Pauli
873135,1683459000,180,FC Heidenheim,0,0,179,FC Magdeburg
873136,1683459000,171,FC Nurnberg,3,3,745,FC Kaiserslautern
873137,1683370800,158,Fortuna Dusseldorf,3,0,191,Holstein Kiel
873138,1683370800,785,Karlsruher SC,2,1,166,Hannover 96
873139,1683370800,1321,Hansa Rostock,2,0,177,Jahn Regensburg
873140,1683459000,744,Eintracht Braunschweig,2,1,189,SV Sandhausen
873141,1683975600,178,SpVgg Greuther Furth,2,2,744,Eintracht Braunschweig
873142,1684002600,186,FC St. Pauli,0,0,158,Fortuna Dusseldorf
873143,1684063800,185,SC Paderborn 07,3,2,180,FC Heidenheim
873144,1683975600,191,Holstein Kiel,2,1,785,Karlsruher SC
873145,1684063800,166,Hannover 96,2,1,181,SV Darmstadt 98
873146,1683909000,189,SV Sandhausen,1,2,1321,Hansa Rostock
873147,1684063800,177,Jahn Regensburg,1,5,175,Hamburger SV
